Time,Watering intensity,Shutters,UV-Lamps,Heating
Tue Oct 13 19:00:00 CEST 2020,0,1,1,1
Tue Oct 13 20:00:00 CEST 2020,0,1,1,1
Tue Oct 13 21:00:00 CEST 2020,0,1,1,1
Tue Oct 13 22:00:00 CEST 2020,0,1,1,1
Tue Oct 13 23:00:00 CEST 2020,0,1,1,1
Wed Oct 14 00:00:00 CEST 2020,0,1,1,1
Wed Oct 14 01:00:00 CEST 2020,0,1,1,1
Wed Oct 14 02:00:00 CEST 2020,0,1,0,1
Wed Oct 14 03:00:00 CEST 2020,0,1,0,1
Wed Oct 14 04:00:00 CEST 2020,0,1,0,1
Wed Oct 14 05:00:00 CEST 2020,0,1,0,1
Wed Oct 14 06:00:00 CEST 2020,0,1,0,1
Wed Oct 14 07:00:00 CEST 2020,0,1,0,1
Wed Oct 14 08:00:00 CEST 2020,0,1,0,1
Wed Oct 14 09:00:00 CEST 2020,0,1,0,1
Wed Oct 14 10:00:00 CEST 2020,0,1,0,1
Wed Oct 14 11:00:00 CEST 2020,0,1,0,1
Wed Oct 14 12:00:00 CEST 2020,0,1,0,1
Wed Oct 14 13:00:00 CEST 2020,0,1,0,1
Wed Oct 14 14:00:00 CEST 2020,0,1,0,1
Wed Oct 14 15:00:00 CEST 2020,0,1,0,1
Wed Oct 14 16:00:00 CEST 2020,0,1,0,1
Wed Oct 14 17:00:00 CEST 2020,0,1,0,1
Wed Oct 14 18:00:00 CEST 2020,0,1,0,1
Wed Oct 14 19:00:00 CEST 2020,0,1,1,1
Wed Oct 14 20:00:00 CEST 2020,0,1,1,1
Wed Oct 14 21:00:00 CEST 2020,0,1,1,1
Wed Oct 14 22:00:00 CEST 2020,0,1,1,1
Wed Oct 14 23:00:00 CEST 2020,0,1,1,1
Thu Oct 15 00:00:00 CEST 2020,0,1,1,1
Thu Oct 15 01:00:00 CEST 2020,0,1,1,1
Thu Oct 15 02:00:00 CEST 2020,0,1,1,1
Thu Oct 15 03:00:00 CEST 2020,0,1,0,1
Thu Oct 15 04:00:00 CEST 2020,0,1,0,1
Thu Oct 15 05:00:00 CEST 2020,0,1,0,1
Thu Oct 15 06:00:00 CEST 2020,0,1,0,1
Thu Oct 15 07:00:00 CEST 2020,0,1,0,1
Thu Oct 15 08:00:00 CEST 2020,0,1,0,1
Thu Oct 15 09:00:00 CEST 2020,0,1,0,1
Thu Oct 15 10:00:00 CEST 2020,0,1,0,1
Thu Oct 15 11:00:00 CEST 2020,0,1,0,1
Thu Oct 15 12:00:00 CEST 2020,0,1,0,1
Thu Oct 15 13:00:00 CEST 2020,0,1,0,1
Thu Oct 15 14:00:00 CEST 2020,0,1,0,1
Thu Oct 15 15:00:00 CEST 2020,0,1,0,1
Thu Oct 15 16:00:00 CEST 2020,0,1,0,1
Thu Oct 15 17:00:00 CEST 2020,0,1,0,1
Thu Oct 15 18:00:00 CEST 2020,0,1,0,1
Thu Oct 15 19:00:00 CEST 2020,0,1,1,1
Thu Oct 15 20:00:00 CEST 2020,0,1,1,1
Thu Oct 15 21:00:00 CEST 2020,0,1,1,1
Thu Oct 15 22:00:00 CEST 2020,0,1,1,1
Thu Oct 15 23:00:00 CEST 2020,0,1,1,1
Fri Oct 16 00:00:00 CEST 2020,0,1,1,1
Fri Oct 16 01:00:00 CEST 2020,0,1,1,1
Fri Oct 16 02:00:00 CEST 2020,0,1,0,1
Fri Oct 16 03:00:00 CEST 2020,0,1,0,1
Fri Oct 16 04:00:00 CEST 2020,0,1,0,1
Fri Oct 16 05:00:00 CEST 2020,0,1,0,1
Fri Oct 16 06:00:00 CEST 2020,0,1,0,1
Fri Oct 16 07:00:00 CEST 2020,0,1,0,1
Fri Oct 16 08:00:00 CEST 2020,0,1,0,1
Fri Oct 16 09:00:00 CEST 2020,0,1,0,1
Fri Oct 16 10:00:00 CEST 2020,0,1,0,1
Fri Oct 16 11:00:00 CEST 2020,0,1,0,1
Fri Oct 16 12:00:00 CEST 2020,0,1,0,1
Fri Oct 16 13:00:00 CEST 2020,0,1,0,1
Fri Oct 16 14:00:00 CEST 2020,0,1,0,1
Fri Oct 16 15:00:00 CEST 2020,0,1,0,1
Fri Oct 16 16:00:00 CEST 2020,0,1,0,1
Fri Oct 16 17:00:00 CEST 2020,0,1,0,1
Fri Oct 16 18:00:00 CEST 2020,0,1,0,1
Fri Oct 16 19:00:00 CEST 2020,0,1,1,1
Fri Oct 16 20:00:00 CEST 2020,0,1,1,1
Fri Oct 16 21:00:00 CEST 2020,0,1,1,1
Fri Oct 16 22:00:00 CEST 2020,0,1,1,1
Fri Oct 16 23:00:00 CEST 2020,0,1,1,1
Sat Oct 17 00:00:00 CEST 2020,0,1,1,1
Sat Oct 17 01:00:00 CEST 2020,0,1,1,1
Sat Oct 17 02:00:00 CEST 2020,0,1,1,1
Sat Oct 17 03:00:00 CEST 2020,0,1,0,1
Sat Oct 17 04:00:00 CEST 2020,0,1,0,1
Sat Oct 17 05:00:00 CEST 2020,0,1,0,1
Sat Oct 17 06:00:00 CEST 2020,0,1,0,1
Sat Oct 17 07:00:00 CEST 2020,0,1,0,1
Sat Oct 17 08:00:00 CEST 2020,0,1,0,1
Sat Oct 17 09:00:00 CEST 2020,0,1,0,1
Sat Oct 17 10:00:00 CEST 2020,0,1,0,1
Sat Oct 17 11:00:00 CEST 2020,0,1,0,1
Sat Oct 17 12:00:00 CEST 2020,0,1,0,1
Sat Oct 17 13:00:00 CEST 2020,0,1,0,1
Sat Oct 17 14:00:00 CEST 2020,0,1,0,1
Sat Oct 17 15:00:00 CEST 2020,0,1,0,1
Sat Oct 17 16:00:00 CEST 2020,0,1,0,1
Sat Oct 17 17:00:00 CEST 2020,0,1,0,1
Sat Oct 17 18:00:00 CEST 2020,0,1,0,1
